id,client_id,lead_name,lead_email,meeting_title,start_time,end_time,calendar_link,provider,status,booked_at,event_id,is_read,reminder_24h_sent,reminder_1h_sent
a1e2b3c4-d5f6-47a8-b9c0-e1f2a3b4c5d6,10921944-ee68-4376-9282-a5b63554beb1,Dmitry Volkov,d.volkov@mail.ru,Meeting with Dmitry Volkov,2025-11-15 10:00:00,2025-11-15 11:00:00,#,google,confirmed,2025-11-13 14:22:05.111222,evt_r1s2t3u4v5w6,true,true,true
b2f3c4d5-e6a7-48b9-c0d1-f2a3b4c5d6e7,409bde86-38c5-47c3-a1e8-fd801e7fd591,Svetlana Kuznetsova,s.kuznetsova@yandex.ru,Meeting with Svetlana Kuznetsova,2026-04-10 11:30:00,2026-04-10 12:30:00,#,microsoft,cancelled,2026-04-08 09:15:30.333444,evt_s2t3u4v5w6x7,true,true,false
c3a4b5d6-e7f8-49c0-d1e2-a3b4c5d6e7f8,10921944-ee68-4376-9282-a5b63554beb1,Ivan Petrov,i.petrov@gmail.com,Meeting with Ivan Petrov,2025-12-02 14:00:00,2025-12-02 15:00:00,#,google,pending,2025-11-30 11:45:10.555666,evt_t3u4v5w6x7y8,false,false,false
d4b5c6e7-f8a9-40d1-e2f3-b4c5d6e7f8a9,409bde86-38c5-47c3-a1e8-fd801e7fd591,Elena Sokolova,e.sokolova@bk.ru,Meeting with Elena Sokolova,2026-02-20 09:15:00,2026-02-20 10:15:00,#,microsoft,cancelled,2026-02-18 13:20:45.777888,evt_u4v5w6x7y8z9,true,true,false
e5c6d7f8-a9b0-41e2-f3a4-c5d6e7f8a9b0,10921944-ee68-4376-9282-a5b63554beb1,Alexei Morozov,a.morozov@inbox.ru,Meeting with Alexei Morozov,2026-01-15 15:30:00,2026-01-15 16:30:00,#,google,tentative,2026-01-13 10:05:22.999000,evt_v5w6x7y8z9a1,true,false,false
f6d7e8a9-b0c1-42f3-a4b5-d6e7f8a9b0c1,409bde86-38c5-47c3-a1e8-fd801e7fd591,Natalia Romanova,n.romanova@list.ru,Meeting with Natalia Romanova,2025-10-28 13:00:00,2025-10-28 14:00:00,#,microsoft,cancelled,2025-10-25 15:30:11.121212,evt_w6x7y8z9a1b2,true,true,true
a7e8f9b0-c1d2-43a4-b5c6-e7f8a9b0c1d2,10921944-ee68-4376-9282-a5b63554beb1,Yuri Gagarin,y.gagarin@space.ru,Meeting with Yuri Gagarin,2026-05-12 10:30:00,2026-05-12 11:30:00,#,google,confirmed,2026-05-10 09:10:00.343434,evt_x7y8z9a1b2c3,true,true,false
b8f9a0c1-d2e3-44b5-c6d7-f8a9b0c1d2e3,409bde86-38c5-47c3-a1e8-fd801e7fd591,Olga Ivanova,o.ivanova@yandex.ru,Meeting with Olga Ivanova,2026-03-05 12:00:00,2026-03-05 13:00:00,#,microsoft,cancelled,2026-03-02 11:45:55.565656,evt_y8z9a1b2c3d4,true,true,true
c9a0b1d2-e3f4-45c6-d7e8-a9b0c1d2e3f4,10921944-ee68-4376-9282-a5b63554beb1,Sergei Popov,s.popov@gmail.com,Meeting with Sergei Popov,2025-11-22 14:00:00,2025-11-22 15:00:00,#,google,confirmed,2025-11-20 12:00:00.787878,evt_z9a1b2c3d4e5,true,true,true
d0b1c2e3-f4a5-46d7-e8f9-b0c1d2e3f4a5,409bde86-38c5-47c3-a1e8-fd801e7fd591,Tatiana Petrova,t.petrova@mail.ru,Meeting with Tatiana Petrova,2026-06-18 09:30:00,2026-06-18 10:30:00,#,microsoft,cancelled,2026-06-16 14:20:33.909090,evt_a1b2c3d4e5f6,true,true,false
e1c2d3f4-a5b6-47e8-f9a0-c1d2e3f4a5b6,10921944-ee68-4376-9282-a5b63554beb1,Mikhail Bakunin,m.bakunin@anarchy.ru,Meeting with Mikhail Bakunin,2025-12-10 11:00:00,2025-12-10 12:00:00,#,google,pending,2025-12-08 09:15:22.121212,evt_b2c3d4e5f6g7,false,false,false
f2d3e4a5-b6c7-48f9-a0b1-d2e3f4a5b6c7,409bde86-38c5-47c3-a1e8-fd801e7fd591,Ekaterina Smirnova,e.smirnova@yandex.ru,Meeting with Ekaterina Smirnova,2026-04-25 15:00:00,2026-04-25 16:00:00,#,microsoft,cancelled,2026-04-23 11:10:44.343434,evt_c3d4e5f6g7h8,true,true,false
a3e4f5b6-c7d8-49a0-b1c2-e3f4a5b6c7d8,10921944-ee68-4376-9282-a5b63554beb1,Andrei Sakharov,a.sakharov@physics.ru,Meeting with Andrei Sakharov,2025-10-15 10:00:00,2025-10-15 11:00:00,#,google,confirmed,2025-10-13 14:00:00.565656,evt_d4e5f6g7h8i9,true,true,true
b4f5a6c7-d8e9-40b1-c2d3-f4a5b6c7d8e9,409bde86-38c5-47c3-a1e8-fd801e7fd591,Maria Sharapova,m.sharapova@tennis.ru,Meeting with Maria Sharapova,2026-01-30 09:00:00,2026-01-30 10:00:00,#,microsoft,cancelled,2026-01-28 11:22:33.787878,evt_e5f6g7h8i9j0,true,true,true
c5a6b7d8-e9f0-41c2-d3e4-a5b6c7d8e9f0,10921944-ee68-4376-9282-a5b63554beb1,Viktor Tsoi,v.tsoi@kino.ru,Meeting with Viktor Tsoi,2025-11-05 14:30:00,2025-11-05 15:30:00,#,google,confirmed,2025-11-03 10:05:00.909090,evt_f6g7h8i9j0k1,true,true,true
d6b7c8e9-f0a1-42d3-e4f5-b6c7d8e9f0a1,409bde86-38c5-47c3-a1e8-fd801e7fd591,Anna Akhmatova,a.akhmatova@poet.ru,Meeting with Anna Akhmatova,2026-05-02 16:00:00,2026-05-02 17:00:00,#,microsoft,cancelled,2026-04-30 13:45:22.121212,evt_g7h8i9j0k1l2,true,true,false
